ds,yhat,yhat_lower,yhat_upper
2026-08-19 02:00:00,24.43329088069571,22.60855879754678,26.411176493405154
2026-08-19 03:00:00,24.392859041927878,22.53455605539006,26.29087736168391
2026-08-19 04:00:00,25.143043966970332,23.313496977922796,27.17768782873422
2026-08-19 05:00:00,26.390921183038234,24.52639257192993,28.151167489856498
2026-08-19 06:00:00,27.58673306750078,25.69268549513305,29.368788668923322
2026-08-19 07:00:00,28.293806408622576,26.53175385797074,30.19334928423793
2026-08-19 08:00:00,28.524633790414892,26.720893848246366,30.529943060855274
2026-08-19 09:00:00,28.73392773124104,26.861742813148556,30.514629752891913
2026-08-19 10:00:00,29.426736652323235,27.53316985481875,31.462162842893648
2026-08-19 11:00:00,30.68504428095471,28.993409505112698,32.65503421466031
2026-08-19 12:00:00,32.01887795849422,30.12606851503346,33.99413532460668
2026-08-19 13:00:00,32.69218214209077,30.858467138854923,34.470473683050635
2026-08-19 14:00:00,32.272526443406925,30.42660481079461,34.161397219197106
2026-08-19 15:00:00,30.961447382157765,29.214979210744087,32.86151793500117
2026-08-19 16:00:00,29.44865127577509,27.507717187700138,31.26541894164454
2026-08-19 17:00:00,28.428058406378916,26.40494161048527,30.300631541200286
2026-08-19 18:00:00,28.167975096655425,26.21996664834038,30.105383112938153
2026-08-19 19:00:00,28.43657506224636,26.49896623256481,30.190033994708262
2026-08-19 20:00:00,28.76210841025999,26.961565746259847,30.644639166753233
2026-08-19 21:00:00,28.760085393944397,26.731447495585975,30.628638371770965
2026-08-19 22:00:00,28.286356309451595,26.406681456715056,30.28886662473233
2026-08-19 23:00:00,27.396639681286242,25.46225283546107,29.308762154575923
2026-08-20 00:00:00,26.261333383861295,24.302823681708357,28.120226130107227
2026-08-20 01:00:00,25.145256146583197,23.286147399754046,27.157579851247387
2026-08-20 02:00:00,24.40137441464661,22.49830060783788,26.298676595573063
2026-08-20 03:00:00,24.358934005341162,22.433270620119753,26.290077153282137
2026-08-20 04:00:00,25.107047311782104,23.309715554759684,27.11008456990656
2026-08-20 05:00:00,26.35279613718543,24.474293226453664,28.2953238769541
2026-08-20 06:00:00,27.54642875401453,25.651676473656057,29.46281114032895
2026-08-20 07:00:00,28.251277454294346,26.28969651188143,30.032145001519112
2026-08-20 08:00:00,28.479839933187925,26.52795878551356,30.29856929539045
2026-08-20 09:00:00,28.686833436146145,26.887979981727177,30.66633802683454
2026-08-20 10:00:00,29.377310745345977,27.575043443616035,31.37624479604522
2026-08-20 11:00:00,30.633259609270656,28.709457567104625,32.60954531259983
2026-08-20 12:00:00,31.96471108524222,30.116374923307756,33.809851439650785
2026-08-20 13:00:00,32.635613081797885,30.645718227360465,34.64486472252542
2026-08-20 14:00:00,32.21353844527863,30.394181939205463,34.176323343108905
2026-08-20 15:00:00,30.900026764859966,29.097901120808537,32.774208920711025
2026-08-20 16:00:00,29.38478731839986,27.47478985064875,31.3343373968642
2026-08-20 17:00:00,28.36174329764531,26.37264201888975,30.312288626556832
2026-08-20 18:00:00,28.099203943842802,26.187792317710603,29.970059992386584
2026-08-20 19:00:00,28.36534596000464,26.514607099019425,30.185047276763566
2026-08-20 20:00:00,28.688422567854403,26.88715791231687,30.555888867167806
2026-08-20 21:00:00,28.68394731882193,26.91134327404217,30.610942489954894
2026-08-20 22:00:00,28.207774043243354,26.319270265027136,30.076858936737842
2026-08-20 23:00:00,27.315625083620592,25.513062571148996,29.350114629463665
2026-08-21 00:00:00,26.177902457668043,24.242581966642174,28.17943561896243
2026-08-21 01:00:00,25.05942939913317,23.192238889782534,26.951952493075048
2026-08-21 02:00:00,24.313177244964344,22.4477027798779,26.093237063926193
2026-08-21 03:00:00,24.268397110836684,22.214498514768845,26.047072578105638
2026-08-21 04:00:00,25.01420710438085,23.110814299764225,26.90736034207366
2026-08-21 05:00:00,26.257695158798438,24.438926074965007,28.056242894035734
2026-08-21 06:00:00,27.449116082514816,25.652195449501036,29.36154528001137
